output,parameter,S1,ST
N_packets,u,0.526981095209862,0.6589493550508311
N_packets,mp,0.10027635244077059,0.040946697642543994
N_packets,r,0.0,0.0
N_packets,omega,0.0,0.0
N_packets,h_km,-0.04112041998076036,0.003496357404888118
N_packets,ms,-0.00876334867121216,0.10780408418132816
N_packets,g_gain,0.0,0.0
N_packets,k_fp,0.0,0.0
N_packets,spacing,0.0,0.0
N_total_inventory,u,0.5255209846177746,0.6971609138642139
N_total_inventory,mp,0.08906453458808024,0.02509534659142168
N_total_inventory,r,0.0,0.0
N_total_inventory,omega,0.0,0.0
N_total_inventory,h_km,-0.045973485950260795,0.00423936884531782
N_total_inventory,ms,0.0012868346538027744,0.10340058123025367
N_total_inventory,g_gain,0.0,0.0
N_total_inventory,k_fp,0.0,0.0
N_total_inventory,spacing,0.0,0.0
M_total_kg,u,0.3686396375245296,0.6561243334488482
M_total_kg,mp,-0.0019156397058880288,0.007792648019082546
M_total_kg,r,0.0,0.0
M_total_kg,omega,0.0,0.0
M_total_kg,h_km,-0.04434499304165449,0.003989829324280967
M_total_kg,ms,-0.07690812638160296,0.09731417250843973
M_total_kg,g_gain,0.0,0.0
M_total_kg,k_fp,0.0,0.0
M_total_kg,spacing,0.0,0.0
mass_multiplier,u,0.33014182799681596,0.5709857390552394
mass_multiplier,mp,0.327878026020099,0.7801361132498583
mass_multiplier,r,0.0,0.0
mass_multiplier,omega,0.0,0.0
mass_multiplier,h_km,0.0392414380940203,0.0046097544347107715
mass_multiplier,ms,0.17206174015908135,0.5923268929885603
mass_multiplier,g_gain,0.0,0.0
mass_multiplier,k_fp,0.0,0.0
mass_multiplier,spacing,0.0,0.0
P_total_kW,u,0.014716848714718999,0.00019729973006991252
P_total_kW,mp,0.006176516736609513,3.5061605942245234e-05
P_total_kW,r,-1.540129359033353e-05,2.1922546014167695e-10
P_total_kW,omega,4.915051120926873e-07,2.2021647741659807e-13
P_total_kW,h_km,0.7241876195845142,0.6783457085368757
P_total_kW,ms,0.011590383799573367,0.0001240990169062198
P_total_kW,g_gain,0.0,0.0
P_total_kW,k_fp,0.0,0.0
P_total_kW,spacing,0.0,0.0
stress_margin,u,0.0,0.0
stress_margin,mp,1.2648398664059024,0.8019081121755921
stress_margin,r,-0.4890637156716763,0.09671246266111268
stress_margin,omega,1.1362024790615242,0.682707712756621
stress_margin,h_km,0.0,0.0
